Nom fournisseur;Designation;Concatenation
3D DOCK SAS;Regularisation intervention 02/06/2021;FRAIS GENERAUX / AUTRE / 
3D DOCK SAS;Regularisation intervention 14/12/2021;FRAIS GENERAUX / AUTRE / 
A&C PROCESS;Inspection refractaires S6/REFRATECHNIK;EXPLOITATION / BRASQUAGE / REFRACTAIRE
A&C PROCESS;Atelier FAC AD - Expertise sur site;EXPLOITATION / BRASQUAGE / REFRACTAIRE
A&C PROCESS;Frais de deplacement et de mission;EXPLOITATION / BRASQUAGE / REFRACTAIRE
A&C PROCESS;Inspection Refratechnik et Gouda;EXPLOITATION / BRASQUAGE / REFRACTAIRE
A&C PROCESS;Inspection Refratechnik&Gouda-Complement;EXPLOITATION / BRASQUAGE / REFRACTAIRE
A&C PROCESS;Audit distance+homologation Mahakoshal;EXPLOITATION / PRESTATION / 
ABC FLEX;GAINE ABC PUR 14 DN 76 1 x 5 metres;MAINTENANCE / PIECES DE RECHANGE / 
ABC FLEX;DV22030007 - Gaines de prechauffage +;MAINTENANCE / PIECES DE RECHANGE / 
ABC FLEX;DV22040027 - Manchettes ventilateur CNG3;MAINTENANCE / PIECES DE RECHANGE / 
ABC FLEX;baches en TVSIL avec velcro en aramide;MAINTENANCE / PIECES DE RECHANGE / 
ABC FLEX;DV22040002 - Manchettes RCF CNG1;MAINTENANCE / PIECES DE RECHANGE / 
ABC FLEX;DV22070013 - Manchette renforcee L10m x;MAINTENANCE / PIECES DE RECHANGE / 
ABC FLEX;baches en fibre de verre pour test;MAINTENANCE / PIECES DE RECHANGE / 
ABIOLAB  ASPOSAN;Prelevement/analyse legionnelle 10 douch;FRAIS GENERAUX / NETTOYAGE ENTRETIENT / 
ABIOLAB  ASPOSAN;Prelevement/analyse legionnelle douche F;FRAIS GENERAUX / NETTOYAGE ENTRETIENT / 
ACIES;ACIES 2021 - Prestations CIR;PRESTATION / ASSISTANCE TECHNIQUE / 
ACTANCE SELARL;Honoraires 2022 - Actance - Estimatif 2;SERVICES SPECIALISES / AVOCATS / 
ACTANCE SELARL;Honoraires 2022 - Actance - Estimatif 2;SERVICES SPECIALISES / AVOCATS / 
ACTIS;Prestations actis Assistance Social 2022;RH / SANTE / 
ACTIS;Frais de deplacement Actis 2022;RH / SANTE / 
ACTIS;Prestations actis Assistance Social 2023;RH / SANTE / 
ACTIS;Estimations Frais deplacement Actis 2023;RH / SANTE / 
ADECCO FRANCE SAS;Regul facture BW8/02168/21-Dec 2021;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/00124/22-Janvier 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/00123/22-Primes 2021;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/00350/22-Fevrier 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/00595/22-Mars 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/00807/22-Avril 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/01058/22-Mai 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/01306/22-Juin 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/01307/22-Juin 2022;RH / INTERIM / ITERIM
